Year,Nation,iso_code3,frac_enfu_fuel_demand_imported_pj_fuel_electricity
2018,albania,ALB,0.0
2019,albania,ALB,0.0
2020,albania,ALB,0.0
2021,albania,ALB,0.0
2022,albania,ALB,0.0
2023,albania,ALB,0.0
2024,albania,ALB,0.0
2025,albania,ALB,0.0
2026,albania,ALB,0.0
2027,albania,ALB,0.0
2028,albania,ALB,0.0
2029,albania,ALB,0.0
2030,albania,ALB,0.0
2031,albania,ALB,0.0
2032,albania,ALB,0.0
2033,albania,ALB,0.0
2034,albania,ALB,0.0
2035,albania,ALB,0.0
2036,albania,ALB,0.0
2037,albania,ALB,0.0
2038,albania,ALB,0.0
2039,albania,ALB,0.0
2040,albania,ALB,0.0
2041,albania,ALB,0.0
2042,albania,ALB,0.0
2043,albania,ALB,0.0
2044,albania,ALB,0.0
2045,albania,ALB,0.0
2046,albania,ALB,0.0
2047,albania,ALB,0.0
2048,albania,ALB,0.0
2049,albania,ALB,0.0
2050,albania,ALB,0.0
2017,algeria,DZA,0.011866742319850855
2018,algeria,DZA,0.011866742319850855
2019,algeria,DZA,0.011866742319850855
2020,algeria,DZA,0.011866742319850855
2021,algeria,DZA,0.011866742319850855
2022,algeria,DZA,0.011866742319850855
2023,algeria,DZA,0.011866742319850855
2024,algeria,DZA,0.011866742319850855
2025,algeria,DZA,0.011866742319850855
2026,algeria,DZA,0.011866742319850855
2027,algeria,DZA,0.011866742319850855
2028,algeria,DZA,0.011866742319850855
2029,algeria,DZA,0.011866742319850855
2030,algeria,DZA,0.011866742319850855
2031,algeria,DZA,0.011866742319850855
2032,algeria,DZA,0.011866742319850855
2033,algeria,DZA,0.011866742319850855
2034,algeria,DZA,0.011866742319850855
2035,algeria,DZA,0.011866742319850855
2036,algeria,DZA,0.011866742319850855
2037,algeria,DZA,0.011866742319850855
2038,algeria,DZA,0.011866742319850855
2039,algeria,DZA,0.011866742319850855
2040,algeria,DZA,0.011866742319850855
2041,algeria,DZA,0.011866742319850855
2042,algeria,DZA,0.011866742319850855
2043,algeria,DZA,0.011866742319850855
2044,algeria,DZA,0.011866742319850855
2045,algeria,DZA,0.011866742319850855
2046,algeria,DZA,0.011866742319850855
2047,algeria,DZA,0.011866742319850855
2048,algeria,DZA,0.011866742319850855
2049,algeria,DZA,0.011866742319850855
2050,algeria,DZA,0.011866742319850855
2017,angola,AGO,0.0
2018,angola,AGO,0.0
2019,angola,AGO,0.0
2020,angola,AGO,0.0
2021,angola,AGO,0.0
2022,angola,AGO,0.0
2023,angola,AGO,0.0
2024,angola,AGO,0.0
2025,angola,AGO,0.0
2026,angola,AGO,0.0
2027,angola,AGO,0.0
2028,angola,AGO,0.0
2029,angola,AGO,0.0
2030,angola,AGO,0.0
2031,angola,AGO,0.0
2032,angola,AGO,0.0
2033,angola,AGO,0.0
2034,angola,AGO,0.0
2035,angola,AGO,0.0
2036,angola,AGO,0.0
2037,angola,AGO,0.0
2038,angola,AGO,0.0
2039,angola,AGO,0.0
2040,angola,AGO,0.0
2041,angola,AGO,0.0
2042,angola,AGO,0.0
2043,angola,AGO,0.0
2044,angola,AGO,0.0
2045,angola,AGO,0.0
2046,angola,AGO,0.0
2047,angola,AGO,0.0
2048,angola,AGO,0.0
2049,angola,AGO,0.0
2050,angola,AGO,0.0
2017,argentina,ARG,0.06386636948263617
2018,argentina,ARG,0.06386636948263617
2019,argentina,ARG,0.06386636948263617
2020,argentina,ARG,0.06386636948263617
2021,argentina,ARG,0.06386636948263617
2022,argentina,ARG,0.06386636948263617
2023,argentina,ARG,0.06386636948263617
2024,argentina,ARG,0.06386636948263617
2025,argentina,ARG,0.06386636948263617
2026,argentina,ARG,0.06386636948263617
2027,argentina,ARG,0.06386636948263617
2028,argentina,ARG,0.06386636948263617
2029,argentina,ARG,0.06386636948263617
2030,argentina,ARG,0.06386636948263617
2031,argentina,ARG,0.06386636948263617
2032,argentina,ARG,0.06386636948263617
2033,argentina,ARG,0.06386636948263617
2034,argentina,ARG,0.06386636948263617
2035,argentina,ARG,0.06386636948263617
2036,argentina,ARG,0.06386636948263617
2037,argentina,ARG,0.06386636948263617
2038,argentina,ARG,0.06386636948263617
2039,argentina,ARG,0.06386636948263617
2040,argentina,ARG,0.06386636948263617
2041,argentina,ARG,0.06386636948263617
2042,argentina,ARG,0.06386636948263617
2043,argentina,ARG,0.06386636948263617
2044,argentina,ARG,0.06386636948263617
2045,argentina,ARG,0.06386636948263617
2046,argentina,ARG,0.06386636948263617
2047,argentina,ARG,0.06386636948263617
2048,argentina,ARG,0.06386636948263617
2049,argentina,ARG,0.06386636948263617
2050,argentina,ARG,0.06386636948263617
2018,armenia,ARM,0.04025208375686115
2019,armenia,ARM,0.04025208375686115
2020,armenia,ARM,0.04025208375686115
2021,armenia,ARM,0.04025208375686115
2022,armenia,ARM,0.04025208375686115
2023,armenia,ARM,0.04025208375686115
2024,armenia,ARM,0.04025208375686115
2025,armenia,ARM,0.04025208375686115
2026,armenia,ARM,0.04025208375686115
2027,armenia,ARM,0.04025208375686115
2028,armenia,ARM,0.04025208375686115
2029,armenia,ARM,0.04025208375686115
2030,armenia,ARM,0.04025208375686115
2031,armenia,ARM,0.04025208375686115
2032,armenia,ARM,0.04025208375686115
2033,armenia,ARM,0.04025208375686115
2034,armenia,ARM,0.04025208375686115
2035,armenia,ARM,0.04025208375686115
2036,armenia,ARM,0.04025208375686115
2037,armenia,ARM,0.04025208375686115
2038,armenia,ARM,0.04025208375686115
2039,armenia,ARM,0.04025208375686115
2040,armenia,ARM,0.04025208375686115
2041,armenia,ARM,0.04025208375686115
2042,armenia,ARM,0.04025208375686115
2043,armenia,ARM,0.04025208375686115
2044,armenia,ARM,0.04025208375686115
2045,armenia,ARM,0.04025208375686115
2046,armenia,ARM,0.04025208375686115
2047,armenia,ARM,0.04025208375686115
2048,armenia,ARM,0.04025208375686115
2049,armenia,ARM,0.04025208375686115
2050,armenia,ARM,0.04025208375686115
2017,australia,AUS,0.0
2018,australia,AUS,0.0
2019,australia,AUS,0.0
2020,australia,AUS,0.0
2021,australia,AUS,0.0
2022,australia,AUS,0.0
2023,australia,AUS,0.0
2024,australia,AUS,0.0
2025,australia,AUS,0.0
2026,australia,AUS,0.0
2027,australia,AUS,0.0
2028,australia,AUS,0.0
