Year,Nation,iso_code3,pij_lndu_croplands_to_other
2021,Afghanistan,AFG,5.024727427319003e-07
2022,Afghanistan,AFG,6.280909284148753e-07
2023,Afghanistan,AFG,7.537091140978505e-07
2024,Afghanistan,AFG,8.793272997808254e-07
2025,Afghanistan,AFG,1.0049454854638006e-06
2026,Afghanistan,AFG,1.1305636711467756e-06
2027,Afghanistan,AFG,1.256181856829751e-06
2028,Afghanistan,AFG,1.3818000425127258e-06
2029,Afghanistan,AFG,1.507418228195701e-06
2030,Afghanistan,AFG,1.633036413878676e-06
2031,Afghanistan,AFG,1.7586545995616508e-06
2032,Afghanistan,AFG,1.8842727852446258e-06
2033,Afghanistan,AFG,2.0098909709276007e-06
2034,Afghanistan,AFG,2.135509156610576e-06
2035,Afghanistan,AFG,2.261127342293552e-06
2036,Afghanistan,AFG,2.386745527976526e-06
2037,Afghanistan,AFG,2.5123637136595014e-06
2038,Afghanistan,AFG,2.637981899342476e-06
2039,Afghanistan,AFG,2.7636000850254515e-06
2040,Afghanistan,AFG,2.8892182707084272e-06
2041,Afghanistan,AFG,3.014836456391402e-06
2042,Afghanistan,AFG,3.140454642074376e-06
2043,Afghanistan,AFG,3.266072827757352e-06
2044,Afghanistan,AFG,3.3916910134403267e-06
2045,Afghanistan,AFG,3.5173091991233015e-06
2046,Afghanistan,AFG,3.642927384806277e-06
2047,Afghanistan,AFG,3.7685455704892517e-06
2048,Afghanistan,AFG,3.8941637561722265e-06
2049,Afghanistan,AFG,4.019781941855201e-06
2050,Afghanistan,AFG,4.145400127538177e-06
2021,Algeria,DZA,0.001580876144269
2022,Algeria,DZA,0.001580876144269
2023,Algeria,DZA,0.001580876144269
2024,Algeria,DZA,0.001580876144269
2025,Algeria,DZA,0.001580876144269
2026,Algeria,DZA,0.001580876144269
2027,Algeria,DZA,0.001580876144269
2028,Algeria,DZA,0.001580876144269
2029,Algeria,DZA,0.001580876144269
2030,Algeria,DZA,0.001580876144269
2031,Algeria,DZA,0.001580876144269
2032,Algeria,DZA,0.001580876144269
2033,Algeria,DZA,0.001580876144269
2034,Algeria,DZA,0.001580876144269
2035,Algeria,DZA,0.001580876144269
2036,Algeria,DZA,0.001580876144269
2037,Algeria,DZA,0.001580876144269
2038,Algeria,DZA,0.001580876144269
2039,Algeria,DZA,0.001580876144269
2040,Algeria,DZA,0.001580876144269
2041,Algeria,DZA,0.001580876144269
