Year,iso_code3,nemomod_entc_residual_capacity_pp_gas_gw
1926,AFG,0.0
1927,AFG,0.0
1928,AFG,0.0
1929,AFG,0.0
1930,AFG,0.0
1931,AFG,0.0
1932,AFG,0.0
1933,AFG,0.0
1934,AFG,0.0
1935,AFG,0.0
1936,AFG,0.0
1937,AFG,0.0
1938,AFG,0.0
1939,AFG,0.0
1940,AFG,0.0
1941,AFG,0.0
1942,AFG,0.0
1943,AFG,0.0
1944,AFG,0.0
1945,AFG,0.0
1946,AFG,0.0
1947,AFG,0.0
1948,AFG,0.0
1949,AFG,0.0
1950,AFG,0.0
1951,AFG,0.0
1952,AFG,0.0
1953,AFG,0.0
1954,AFG,0.0
1955,AFG,0.0
1956,AFG,0.0
1957,AFG,0.0
1958,AFG,0.0
1959,AFG,0.0
1960,AFG,0.0
1961,AFG,0.0
1962,AFG,0.0
1963,AFG,0.0
1964,AFG,0.0
1965,AFG,0.0
1966,AFG,0.0
1967,AFG,0.0
1968,AFG,0.0
1969,AFG,0.0
1970,AFG,0.0
1971,AFG,0.0
1972,AFG,0.0
1973,AFG,0.0
1974,AFG,0.0
1975,AFG,0.0
1976,AFG,0.0
1977,AFG,0.0
1978,AFG,0.0
1979,AFG,0.0
1980,AFG,0.0
1981,AFG,0.0
1982,AFG,0.1188656545402463
1983,AFG,0.1188656545402463
1984,AFG,0.1188656545402463
1985,AFG,0.1188656545402463
1986,AFG,0.1188656545402463
1987,AFG,0.1188656545402463
1988,AFG,0.1188656545402463
1989,AFG,0.1188656545402463
1990,AFG,0.1188656545402463
1991,AFG,0.1188656545402463
1992,AFG,0.1188656545402463
1993,AFG,0.1188656545402463
1994,AFG,0.1188656545402463
1995,AFG,0.1188656545402463
1996,AFG,0.1188656545402463
1997,AFG,0.1188656545402463
1998,AFG,0.1188656545402463
1999,AFG,0.1236780292179891
2000,AFG,0.1135720423947293
2001,AFG,0.1198281294757949
2002,AFG,0.1181437983385849
2003,AFG,0.1176625608708106
2004,AFG,0.1176625608708106
2005,AFG,0.1176625608708106
2006,AFG,0.1137524231514815
2007,AFG,0.0
2008,AFG,0.0
2009,AFG,0.0
2021,AFG,0.0
2022,AFG,0.0
2023,AFG,0.0
2024,AFG,0.0
2025,AFG,0.0
2026,AFG,0.0
2027,AFG,0.0
2028,AFG,0.0
2029,AFG,0.0
2030,AFG,0.0
2031,AFG,0.0
2032,AFG,0.0
2033,AFG,0.0
2034,AFG,0.0
2035,AFG,0.0
2036,AFG,0.0
