iso_code3,Nation,Year,pop_lvst_initial_sheep
AFG,Afghanistan,2023,12500000.0
AFG,Afghanistan,2024,12500000.0
AFG,Afghanistan,2025,12500000.0
AFG,Afghanistan,2026,12500000.0
AFG,Afghanistan,2027,12500000.0
AFG,Afghanistan,2028,12500000.0
AFG,Afghanistan,2029,12500000.0
AFG,Afghanistan,2030,12500000.0
AFG,Afghanistan,2031,12500000.0
AFG,Afghanistan,2032,12500000.0
AFG,Afghanistan,2033,12500000.0
AFG,Afghanistan,2034,12500000.0
AFG,Afghanistan,2035,12500000.0
AFG,Afghanistan,2036,12500000.0
AFG,Afghanistan,2037,12500000.0
AFG,Afghanistan,2038,12500000.0
AFG,Afghanistan,2039,12500000.0
AFG,Afghanistan,2040,12500000.0
AFG,Afghanistan,2041,12500000.0
AFG,Afghanistan,2042,12500000.0
AFG,Afghanistan,2043,12500000.0
AFG,Afghanistan,2044,12500000.0
AFG,Afghanistan,2045,12500000.0
AFG,Afghanistan,2046,12500000.0
AFG,Afghanistan,2047,12500000.0
AFG,Afghanistan,2048,12500000.0
AFG,Afghanistan,2049,12500000.0
AFG,Afghanistan,2050,12500000.0
AGO,Angola,2023,1144834.0
AGO,Angola,2024,1144834.0
AGO,Angola,2025,1144834.0
AGO,Angola,2026,1144834.0
AGO,Angola,2027,1144834.0
AGO,Angola,2028,1144834.0
AGO,Angola,2029,1144834.0
AGO,Angola,2030,1144834.0
AGO,Angola,2031,1144834.0
AGO,Angola,2032,1144834.0
AGO,Angola,2033,1144834.0
AGO,Angola,2034,1144834.0
AGO,Angola,2035,1144834.0
AGO,Angola,2036,1144834.0
AGO,Angola,2037,1144834.0
AGO,Angola,2038,1144834.0
AGO,Angola,2039,1144834.0
AGO,Angola,2040,1144834.0
AGO,Angola,2041,1144834.0
AGO,Angola,2042,1144834.0
AGO,Angola,2043,1144834.0
AGO,Angola,2044,1144834.0
AGO,Angola,2045,1144834.0
AGO,Angola,2046,1144834.0
AGO,Angola,2047,1144834.0
AGO,Angola,2048,1144834.0
AGO,Angola,2049,1144834.0
AGO,Angola,2050,1144834.0
ALB,Albania,2023,1371695.0
ALB,Albania,2024,1371695.0
ALB,Albania,2025,1371695.0
ALB,Albania,2026,1371695.0
ALB,Albania,2027,1371695.0
ALB,Albania,2028,1371695.0
ALB,Albania,2029,1371695.0
ALB,Albania,2030,1371695.0
ALB,Albania,2031,1371695.0
ALB,Albania,2032,1371695.0
ALB,Albania,2033,1371695.0
ALB,Albania,2034,1371695.0
ALB,Albania,2035,1371695.0
ALB,Albania,2036,1371695.0
ALB,Albania,2037,1371695.0
ALB,Albania,2038,1371695.0
ALB,Albania,2039,1371695.0
ALB,Albania,2040,1371695.0
ALB,Albania,2041,1371695.0
ALB,Albania,2042,1371695.0
ALB,Albania,2043,1371695.0
ALB,Albania,2044,1371695.0
ALB,Albania,2045,1371695.0
ALB,Albania,2046,1371695.0
ALB,Albania,2047,1371695.0
ALB,Albania,2048,1371695.0
ALB,Albania,2049,1371695.0
ALB,Albania,2050,1371695.0
ARE,United Arab Emirates,2023,2072026.0
ARE,United Arab Emirates,2024,2072026.0
ARE,United Arab Emirates,2025,2072026.0
ARE,United Arab Emirates,2026,2072026.0
ARE,United Arab Emirates,2027,2072026.0
ARE,United Arab Emirates,2028,2072026.0
ARE,United Arab Emirates,2029,2072026.0
ARE,United Arab Emirates,2030,2072026.0
ARE,United Arab Emirates,2031,2072026.0
ARE,United Arab Emirates,2032,2072026.0
ARE,United Arab Emirates,2033,2072026.0
ARE,United Arab Emirates,2034,2072026.0
